"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"FOLD","Amicus Therapeutics, Inc.","14.72","$2.46B","2007","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/fold",
"AMKR","Amkor Technology, Inc.","9.27","$2.22B","1998","Technology","Semiconductors","https://www.nasdaq.com/symbol/amkr",
"AMPH","Amphastar Pharmaceuticals, Inc.","18.4","$845.95M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/amph",
"IBUY","Amplify Online Retail ETF","42.53","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ibuy",
"ASYS","Amtech Systems, Inc.","8.49","$126.45M","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/asys",
"AFSI","AmTrust Financial Services, Inc.","12.73","$2.5B","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/afsi",
"AMRS","Amyris, Inc.","4.95","$213.02M","2010","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/amrs",
"ADI","Analog Devices, Inc.","83.93","$31.28B","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/adi",
"ALOG","Analogic Corporation","78.9","$985.05M","1972","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/alog",
"ANAB","AnaptysBio, Inc.","104.33","$2.45B","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/anab",
"AVXL","Anavex Life Sciences Corp.","2.6","$114.97M","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://www.nasdaq.com/symbol/avxl",
"ANCB","Anchor Bancorp","24.8","$61.6M","2011","Finance","Banks","https://www.nasdaq.com/symbol/ancb",
"ANDA","Andina Acquisition Corp. II","10.25","$42.54M","2015","Finance","Business Services","https://www.nasdaq.com/symbol/anda",
"ANDAR","Andina Acquisition Corp. II","1.32","n/a","2015","Finance","Business Services","https://www.nasdaq.com/symbol/andar",
"ANDAU","Andina Acquisition Corp. II","16.04","n/a","2015","Finance","Business Services","https://www.nasdaq.com/symbol/andau",
"ANDAW","Andina Acquisition Corp. II","1.73","n/a","2015","Finance","Business Services","https://www.nasdaq.com/symbol/andaw",
"ANGI","ANGI Homeservices Inc.","13.31","$6.35B","n/a","Consumer Services","Advertising","https://www.nasdaq.com/symbol/angi",
"ANGO","AngioDynamics, Inc.","16.13","$592.7M","2004","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/ango",
"ANIP","ANI Pharmaceuticals, Inc.","58.01","$676.04M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/anip",
"ANIK","Anika Therapeutics Inc.","57.59","$844.37M","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/anik",
"ANSS","ANSYS, Inc.","150.41","$12.76B","1996","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/anss",
"ATRS","Antares Pharma, Inc.","2.06","$322.75M","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/atrs",
"ANTH","Anthera Pharmaceuticals, Inc.","1.56","$33.5M","2010","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/anth",
"APLS","Apellis Pharmaceuticals, Inc.","14.01","$705.18M","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/apls",
"APOG","Apogee Enterprises, Inc.","43.05","$1.22B","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/apog",
"APEN","Apollo Endosurgery, Inc.","6.31","$109.1M","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/apen",
"AINV","Apollo Investment Corporation","5.3","$1.16B","2004","n/a","n/a","https://www.nasdaq.com/symbol/ainv",
"AMEH","Apollo Medical Holdings, Inc.","20.2","$121.88M","n/a","Consumer Services","Professional Services","https://www.nasdaq.com/symbol/ameh",
